"","country","Sex","Year","Age","mu","delta","fx","spx","vs","sEx","ax","hp","hc","dp","dc","Hp","Hc","Dp","Dc","rho","phi","xt"
"3043","England and Wales","Males",1999,67,0.0230647012527327,0.0554517400250657,0.021926290558597,0.961605874978614,0.895014234839903,0.860650946411539,9.67650942196663,3.13237360456518,81.0829663110984,3.43589834233709,81.0829663110984,0.323709042999987,8.3793610666086,0.355076215245268,8.3793610666086,0.0421725564965056,0.0639837859294288,1
"3044","England and Wales","Males",1999,68,0.0258282455066747,0.0552711621327509,0.0239608417523471,0.939679584420017,0.846811544213322,0.795731519948447,9.3843788493486,2.94028853544148,78.5010134718638,2.97409087303452,78.5010134718638,0.313317331135408,8.36507292939403,0.316919310353818,8.36507292939403,0.0429309308838975,0.070460661954307,1
"3045","England and Wales","Males",1999,69,0.0289256881834688,0.0549405426087817,0.0261101675319396,0.91571874266767,0.801409714105325,0.733865895762185,9.09119031711728,2.7474175056688,75.31808739207,2.56135645193257,75.31808739207,0.302206576898499,8.28473332587241,0.281740494103389,8.28473332587241,0.0427641420118199,0.0763467509233088,1
"3046","England and Wales","Males",1999,70,0.032345521771226,0.0544962360987858,0.0283168912241303,0.88960857513573,0.758736029887234,0.674978078452123,8.79709848276912,2.55443357165171,71.6487579132591,2.19480883576435,71.6487579132591,0.290372283163032,8.14458972507782,0.24949235706106,8.14458972507782,0.0416100447209863,0.0816193085128836,1
"3047","England and Wales","Males",1999,71,0.0360611404466699,0.053988721740985,0.0305090645482987,0.8612916839116,0.718676590022206,0.618990170408072,8.50234915351223,2.36237075952054,67.5988894425464,1.87121843491299,67.5988894425464,0.277849182251551,7.95061320371935,0.220082520857193,7.95061320371935,0.0394342951575096,0.0862846366845172,1
"3048","England and Wales","Males",1999,72,0.0400739565356863,0.0534672989069499,0.0326387643666644,0.830782619363301,0.681082497795788,0.565831501521284,8.20717893667628,2.17258564541381,63.2659582496899,1.58708278115456,63.2659582496899,0.264717713866935,7.70861202586515,0.193377382581753,7.70861202586515,0.0364895594458888,0.090358584605474,1
"3049","England and Wales","Males",1999,73,0.0444129117796773,0.0529703339000726,0.0346778211145219,0.798143854996637,0.645783704232049,0.515428295189775,7.91196160073171,1.98648698486895,58.7393062375196,1.33878704073586,58.7393062375196,0.251073891041792,7.42411417063593,0.169210507873553,7.42411417063593,0.0331978241978902,0.0938657401378392,1
"3050","England and Wales","Males",1999,74,0.0491147015605103,0.0525197350240214,0.0365986407468066,0.763466033882115,0.612604530613926,0.467702751326028,7.61727523342895,1.80536895975175,54.1004515808116,1.12277142992941,54.1004515808116,0.237009810519746,7.10233645534928,0.14739803873727,7.10233645534928,0.0299832644660173,0.0968468256668694,1
"3051","England and Wales","Males",1999,75,0.0542250534699622,0.0521197691607842,0.038374006968473,0.726867393135308,0.581377238558454,0.422584157819188,7.3237904821802,1.63039191298139,49.4234240675513,0.935663540851775,49.4234240675513,0.222615859499034,6.74833942721401,0.127756732409041,6.74833942721401,0.027270055302893,0.0993626685874046,2
"3052","England and Wales","Males",1999,76,0.0598003616262289,0.0517603391908488,0.039976838762702,0.688493386166835,0.551951281271712,0.380014806641884,7.03218303189816,1.46256982800419,44.7749983315403,0.774357137826498,44.7749983315403,0.207982332281447,6.367154854821,0.11011618075269,6.367154854821,0.0254549713652049,0.101488229915034,2
"3053","England and Wales","Males",1999,77,0.0659059084611034,0.0514234079938988,0.0413775593880416,0.648516547404133,0.524197179462817,0.339950544984211,6.74309514227048,1.30276330784505,40.2148206518377,0.636036240370274,40.2148206518377,0.193199603499349,5.96385188157034,0.0943240792174426,5.96385188157034,0.0245247961991007,0.103298987121716,2
"3054","England and Wales","Males",1999,78,0.0726175559259109,0.051089930996417,0.0425442207521622,0.607138988016091,0.498005559555702,0.302358591455036,6.4571286501755,1.15168595033434,35.7954635670429,0.518157391943531,35.7954635670429,0.1783588360599,5.54355743958579,0.0802457903528757,5.54355743958579,0.0241507013821505,0.104857431046937,2
"3055","England and Wales","Males",1999,79,0.0800267369678126,0.0507449015447152,0.0434443232197097,0.564594767263929,0.473283144925667,0.267213187059248,6.17488137548444,1.0099097344138,31.5624432866724,0.418411029015762,31.5624432866724,0.163551277021021,5.11142504080838,0.0677601727989369,5.11142504080838,0.0239957398561511,0.106206142926081,2
"3056","England and Wales","Males",1999,80,0.0882438124071953,0.0503796033151032,0.0440449546618335,0.52115044404422,0.449947798196828,0.234490494826996,5.89702600106221,0.877864839592224,27.5542454807837,0.334681447614759,27.5542454807837,0.148865689151463,4.67256638784032,0.0567542770804257,4.67256638784032,0.0237229645628158,0.10736908926227,2
"3057","England and Wales","Males",1999,81,0.0973998057179619,0.0499915657693752,0.0443119922545338,0.477105489382386,0.427924161654822,0.204164966564871,5.62440299866473,0.755841600678214,23.8023975635518,0.265016706212328,23.8023975635518,0.134386102997537,4.23198650046994,0.0471190820208376,4.23198650046994,0.0230063286176604,0.108359197388083,2
"3058","England and Wales","Males",1999,82,0.107593215337692,0.0495833612055006,0.0441884549583432,0.432793497127852,0.40714057706426,0.176207794170293,5.35811192717403,0.643996814486921,20.331593131949,0.207611088781896,20.331593131949,0.120190996985495,3.79454431118467,0.0387470608310704,3.79454431118467,0.021770489133667,0.109189205199697,2
