"","country","Sex","Year","ax","rhobar","phibar","H","D","Dc","mort","int","adot"
"221","England and Wales","Females",2062,18.7639505320136,0.00988376621249142,-0.0115894474338914,0.264600987517856,0.331311860034704,13.1882878315075,0.00261525430022085,-0.00383972138609699,-0.00122446708587614
"222","England and Wales","Females",2063,18.7422306621412,0.00987145221601736,-0.0112472478318023,0.262752748570499,0.335210272211225,13.1942325808317,0.0025937512021409,-0.00377019300732554,-0.00117644180518464
"223","England and Wales","Females",2064,18.7213435049127,0.00986006821237205,-0.0109188127085215,0.260918697695554,0.339047517579522,13.2003487534357,0.00257267615716145,-0.00370199634373993,-0.00112932018657848
"224","England and Wales","Females",2065,18.7012726887225,0.00984662179899363,-0.0106033811585281,0.259098946032529,0.342824904214777,13.2066360572774,0.00255124933010018,-0.00363510313002518,-0.001083853799925
"225","England and Wales","Females",2066,18.6820166469352,0.00983469192899663,-0.0103002470548627,0.257296491967482,0.346544414367949,13.2131209168609,0.00253043173291174,-0.0035694930834726,-0.00103906135056086
"226","England and Wales","Females",2067,18.663584148474,0.00982793626412604,-0.0100087542031782,0.255516188996609,0.350208544972495,13.2198491015353,0.00251119681991106,-0.00350515124648238,-0.000993954426571319
"227","England and Wales","Females",2068,18.6459570883318,0.00982766632365877,-0.00972829200137205,0.253756296361587,0.353818534527746,13.226818532907,0.00249383220816915,-0.00344205001938346,-0.000948217811214311
"228","England and Wales","Males",1842,9.38182093239074,0.0232430825316284,0.00519998731778557,0.541566702838226,0.241200173407453,7.43896436101538,0.0125876795704508,0.00125423784276643,0.0138419174132172
"229","England and Wales","Males",1843,9.32098872825304,-0.016801392570917,0.00504384298514362,0.542904002956284,0.237937636788514,7.37544993572511,-0.00912154328199082,0.0012001200802174,-0.00792142320177342
"230","England and Wales","Males",1844,9.18532910673203,-0.0331329553721623,0.00269248423638229,0.547031113989207,0.23369459263054,7.26345700504254,-0.0181247574869886,0.00062921900678551,-0.0174955384802031
"231","England and Wales","Males",1845,9.06625291956036,-0.0276101573346195,-0.00139924454069927,0.551180636373921,0.231240569451638,7.1771339644247,-0.0152181840900797,-0.000323562104393394,-0.015541746194473
"232","England and Wales","Males",1846,8.99746448386267,-0.0148442750059265,-0.00351872512949925,0.554501745062811,0.230859734731909,7.14014533561785,-0.00823117639497852,-0.000812331949990699,-0.00904350834496922
"233","England and Wales","Males",1847,8.9699138033691,-0.0053262728264704,-0.0027531737840602,0.557167478444745,0.23147226521203,7.13940687373389,-0.00296762600023328,-0.000637283372318791,-0.00360490937255207
"234","England and Wales","Males",1848,8.97468454655228,0.00112693066870695,0.0002605227078162,0.559148758544697,0.232129683225013,7.16154942690652,0.000630121884373435,6.0475053638297e-05,0.000690596938011732
"235","England and Wales","Males",1849,9.00035224963709,0.00485149717827151,0.00309040325423939,0.560051658845628,0.232388322278245,7.19171983736705,0.00271708904257584,0.00071817362741592,0.00343526266999176
"236","England and Wales","Males",1850,9.03460348840956,0.00591327540707871,0.00493020942159402,0.559403779026343,0.231985208950837,7.21472726816414,0.00330790860914337,0.00114373566283988,0.00445164427198324
"237","England and Wales","Males",1851,9.06766081272524,0.00533180648478427,0.00491726775785326,0.557217441945382,0.231131423079465,7.22360779941955,0.00297097557039929,0.0011365350945354,0.00410751066493469
"238","England and Wales","Males",1852,9.09435606704806,0.00452239377599674,0.00280329206007831,0.554086752251299,0.23042060977834,7.22160850365316,0.00250579847974352,0.000645936265870021,0.00315173474561354
"239","England and Wales","Males",1853,9.11179313445179,0.00383105175421609,-0.000739623017749973,0.550636304211479,0.230330685106655,7.21345296664186,0.00210951617918445,-0.000170357876399003,0.00193915830278545
"240","England and Wales","Males",1854,9.12367303134845,0.00363788990907959,-0.00294209452718651,0.547626925583537,0.2307995482788,7.20690212596228,0.00199220646652063,-0.000679034087868176,0.00131317237865245
"241","England and Wales","Males",1855,9.13617658028642,0.00415935867049585,-0.00311515460272493,0.545769082060476,0.231639412352343,7.21063030813301,0.0022700493635568,-0.000721592581561901,0.0015484567819949
"242","England and Wales","Males",1856,9.15262561564803,0.00475749689703263,-0.00180273635279568,0.545387696472469,0.232620374590362,7.22812421812717,0.00259468027364754,-0.000419353205674995,0.00217532706797255
"243","England and Wales","Males",1857,9.16842020883584,0.00437929982826219,-0.00110601005193776,0.546104932276949,0.233667716217278,7.25264193278025,0.00239155723613358,-0.000258438842949649,0.00213311839318393
"244","England and Wales","Males",1858,9.17781181835947,0.00301760502854737,-0.00140210592909369,0.547461057617554,0.234757100468056,7.27624531430258,0.00165202124040059,-0.000329154322463103,0.00132286691793749
"245","England and Wales","Males",1859,9.17685167522892,0.000904492518099409,-0.002127150509439,0.548988716287746,0.235757456120264,7.29172401751083,0.000496556186403266,-0.000501491592890262,-4.93540648699648e-06
"246","England and Wales","Males",1860,9.16278976704742,-0.00176599601836568,-0.00313735343850087,0.550157205909743,0.236515740051211,7.29226259071738,-0.000971575435111794,-0.000742033470309246,-0.00171360890542104
"247","England and Wales","Males",1861,9.13526004022316,-0.004569897751715,-0.00426580468223465,0.550605676569517,0.236951889660592,7.27461161771553,-0.00251621164343655,-0.0010107904803785,-0.00352700212381505
"248","England and Wales","Males",1862,9.0993298621601,-0.00644779707673539,-0.00486710711383678,0.550550669962485,0.237134022990072,7.24485581650997,-0.00354983900037882,-0.00115415669022771,-0.00470399569060653
"249","England and Wales","Males",1863,9.06096883706616,-0.00718606686042383,-0.00475179601747498,0.550317756287287,0.237138295669069,7.21064132188003,-0.00395462019115887,-0.00112683280895109,-0.00508145300010996
"250","England and Wales","Males",1864,9.02671961771863,-0.006654267899474,-0.00378010864260404,0.550209802457094,0.237018892339628,7.17981877961104,-0.00366124342646617,-0.000895957163393464,-0.00455720058985964
"251","England and Wales","Males",1865,9.00359337959754,-0.00473384866584822,-0.00192495752195488,0.550491068586535,0.236833024647317,7.1603917174622,-0.00260594141058973,-0.000455893512242178,-0.00306183492283191
"252","England and Wales","Males",1866,8.99631340170417,-0.00188493222582599,0.000493052935950796,0.551357558529528,0.236636258883533,7.15797110502907,-0.00103927163002505,0.000116674202194939,-0.000922597427830109
"253","England and Wales","Males",1867,8.99935300593179,-9.82203578397705e-05,0.00220051317685802,0.552767460913095,0.236437714141076,7.16772068046242,-5.42930178130656e-05,0.000520284305473628,0.000465991287660562
"254","England and Wales","Males",1868,9.00446757574598,0.000132318168843442,0.00287966181263726,0.554615176438341,0.236227537774467,7.1820010694842,7.33856645591036e-05,0.000680255419622459,0.000753641084181563
